vertices,celtype,loc_x,loc_y,loc_z,state,tcounter,Temp
94.0, 1.0, 56.8, 249.0, 41.2, 5.0, 1.0, 0.00000
95.0, 1.0, 48.2, 242.8, 2.4, 5.0, 1.0, 0.42096
96.0, 1.0, 46.1, 236.9, 2.6, 5.0, 1.0, 1.00000
97.0, 1.0, 41.3, 230.9, 58.2, 5.0, 1.0, -1.00000
98.0, 1.0, 38.6, 226.6, 59.0, 5.0, 1.0, 0.00000
99.0, 1.0, 40.5, 229.2, 63.4, 5.0, 1.0, 0.00000
100.0, 1.0, 54.3, 230.7, 6.7, 5.0, 1.0, 0.10813
101.0, 1.0, 69.5, 251.6, 54.4, 5.0, 1.0, 0.00000
102.0, 1.0, 68.1, 249.9, 59.0, 5.0, 1.0, -1.00000
103.0, 1.0, 73.1, 251.0, 59.8, 5.0, 1.0, -1.00000
104.0, 1.0, 60.7, 241.0, 80.8, 5.0, 1.0, -1.00000
105.0, 1.0, 35.7, 222.2, 91.6, 5.0, 1.0, 0.60847
106.0, 1.0, 43.5, 218.3, 16.2, 5.0, 1.0, -1.00000
107.0, 1.0, 43.0, 210.4, 20.6, 5.0, 1.0, 0.00000
108.0, 1.0, 38.4, 214.7, 21.8, 5.0, 1.0, 0.45681
109.0, 1.0, 72.1, 244.4, 78.5, 5.0, 1.0, 0.00000
110.0, 1.0, 69.8, 254.0, 48.6, 5.0, 1.0, -1.00000
111.0, 1.0, 75.4, 256.1, 48.0, 5.0, 1.0, 0.05861
112.0, 1.0, 45.5, 235.2, 72.4, 5.0, 1.0, 0.69718
113.0, 1.0, 61.0, 227.0, 2.0, 5.0, 1.0, 0.65037
114.0, 1.0, 52.1, 235.2, 1.0, 5.0, 1.0, 0.65462
115.0, 1.0, 49.5, 208.2, 20.3, 5.0, 1.0, -1.00000
116.0, 1.0, 44.8, 203.4, 24.1, 5.0, 1.0, -1.00000
117.0, 1.0, 41.6, 234.4, 40.0, 5.0, 1.0, 0.43622
118.0, 1.0, 54.4, 260.7, 19.9, 5.0, 1.0, 0.48526
119.0, 1.0, 54.4, 238.7, 80.1, 5.0, 1.0, 0.00000
120.0, 1.0, 58.2, 241.8, 76.5, 5.0, 1.0, -1.00000
121.0, 1.0, 55.4, 244.5, 58.6, 5.0, 1.0, 0.00000
122.0, 1.0, 59.0, 245.9, 62.3, 5.0, 1.0, -1.00000
123.0, 1.0, 40.7, 235.2, 34.8, 5.0, 1.0, 0.35912
124.0, 1.0, 37.8, 230.5, 39.0, 5.0, 1.0, 0.25357
125.0, 1.0, 57.8, 262.9, 28.8, 5.0, 1.0, 0.90676
126.0, 1.0, 38.9, 230.6, 23.6, 5.0, 1.0, 0.04741
127.0, 1.0, 37.0, 228.8, 29.2, 5.0, 1.0, 0.04398
128.0, 1.0, 39.7, 234.7, 28.6, 5.0, 1.0, 0.00000
129.0, 1.0, 51.6, 249.6, 5.4, 5.0, 1.0, 0.14886
130.0, 1.0, 50.8, 249.5, 9.8, 5.0, 1.0, 0.01641
131.0, 1.0, 52.4, 253.6, 7.2, 5.0, 1.0, 0.14756
132.0, 1.0, 48.8, 240.2, 9.2, 5.0, 1.0, 0.00000
133.0, 1.0, 37.1, 225.7, 78.4, 5.0, 1.0, -1.00000
134.0, 1.0, 38.1, 226.1, 86.5, 5.0, 1.0, 0.59659
135.0, 1.0, 33.6, 204.4, 31.2, 5.0, 1.0, 0.00000
136.0, 1.0, 32.5, 210.6, 31.7, 5.0, 1.0, 0.00000
137.0, 1.0, 37.6, 207.3, 25.4, 5.0, 1.0, 0.50560
138.0, 1.0, 60.0, 252.6, 37.2, 5.0, 1.0, 0.27447
139.0, 1.0, 55.7, 249.5, 34.7, 5.0, 1.0, 0.15317
140.0, 1.0, 42.3, 245.4, 11.0, 5.0, 1.0, 0.95553
141.0, 1.0, 42.0, 243.3, 9.3, 5.0, 1.0, 0.96274
142.0, 1.0, 44.4, 246.8, 7.7, 5.0, 1.0, 0.41671
143.0, 1.0, 58.4, 260.1, 42.0, 5.0, 1.0, -1.00000
144.0, 1.0, 44.7, 248.9, 10.3, 5.0, 1.0, 0.47215
145.0, 1.0, 37.7, 231.4, 33.4, 5.0, 1.0, 0.21544
146.0, 1.0, 61.3, 252.1, 41.7, 5.0, 1.0, 0.07909
147.0, 1.0, 59.0, 222.1, 9.5, 5.0, 1.0, -1.00000
148.0, 1.0, 54.4, 223.2, 10.0, 5.0, 1.0, -1.00000
149.0, 1.0, 51.4, 246.4, 32.0, 5.0, 1.0, 0.00000
150.0, 1.0, 47.8, 242.5, 34.8, 5.0, 1.0, 0.47253
151.0, 1.0, 52.0, 245.7, 38.0, 5.0, 1.0, -1.00000
152.0, 1.0, 50.4, 221.8, 12.0, 5.0, 1.0, 0.13552
153.0, 1.0, 48.5, 241.3, 40.4, 5.0, 1.0, 0.63499
154.0, 1.0, 48.8, 231.2, 2.0, 5.0, 1.0, 0.97644
155.0, 1.0, 74.7, 246.9, 72.5, 5.0, 1.0, -1.00000
156.0, 1.0, 78.0, 246.5, 73.2, 5.0, 1.0, 0.00000
157.0, 1.0, 78.4, 247.7, 70.2, 5.0, 1.0, 0.00000
158.0, 1.0, 69.0, 268.7, 37.5, 5.0, 1.0, 0.48372
159.0, 1.0, 66.9, 269.7, 31.2, 5.0, 1.0, 0.36758
160.0, 1.0, 31.9, 215.8, 36.5, 5.0, 1.0, 0.00000
161.0, 1.0, 33.6, 217.3, 31.0, 5.0, 1.0, 0.00000
162.0, 1.0, 66.7, 246.0, 72.9, 5.0, 1.0, 0.05625
163.0, 1.0, 29.9, 207.7, 42.1, 5.0, 1.0, 0.00000
164.0, 1.0, 30.7, 214.6, 42.5, 5.0, 1.0, 0.00000
165.0, 1.0, 52.2, 245.3, 2.4, 5.0, 1.0, 0.36368
166.0, 1.0, 40.7, 230.0, 81.2, 5.0, 1.0, 0.65522
167.0, 1.0, 43.8, 233.5, 62.4, 5.0, 1.0, 0.34965
168.0, 1.0, 29.0, 212.3, 54.7, 5.0, 1.0, -1.00000
169.0, 1.0, 31.0, 216.4, 51.8, 5.0, 1.0, -1.00000
170.0, 1.0, 52.2, 244.7, 43.9, 5.0, 1.0, -1.00000
171.0, 1.0, 41.1, 235.6, 22.0, 5.0, 1.0, -1.00000
172.0, 1.0, 55.2, 219.4, 11.9, 5.0, 1.0, 0.09546
173.0, 1.0, 31.0, 210.9, 38.0, 5.0, 1.0, 0.00000
174.0, 1.0, 47.8, 246.7, 4.4, 5.0, 1.0, 0.25268
175.0, 1.0, 45.1, 243.1, 4.8, 5.0, 1.0, 0.40442
176.0, 1.0, 53.5, 259.1, 28.5, 5.0, 1.0, -1.00000
177.0, 1.0, 71.2, 270.0, 33.4, 5.0, 1.0, 0.41905
178.0, 1.0, 46.9, 243.5, 29.0, 5.0, 1.0, 0.39153
179.0, 1.0, 56.1, 245.8, 53.1, 5.0, 1.0, -1.00000
180.0, 1.0, 74.6, 248.2, 68.9, 5.0, 1.0, 0.00000
181.0, 1.0, 49.7, 249.3, 14.9, 5.0, 1.0, 0.29030
182.0, 1.0, 53.2, 252.3, 17.6, 5.0, 1.0, 0.20107
183.0, 1.0, 53.0, 253.1, 12.5, 5.0, 1.0, 0.17539
184.0, 1.0, 33.1, 218.8, 71.1, 5.0, 1.0, -1.00000
185.0, 1.0, 43.1, 240.0, 25.7, 5.0, 1.0, -1.00000
186.0, 1.0, 43.6, 239.3, 31.8, 5.0, 1.0, 0.43187
187.0, 1.0, 33.6, 221.1, 51.5, 5.0, 1.0, 0.15938
188.0, 1.0, 34.5, 221.2, 55.8, 5.0, 1.0, 0.00000
189.0, 1.0, 36.7, 224.8, 55.3, 5.0, 1.0, 0.00000
190.0, 1.0, 48.8, 240.5, 46.0, 5.0, 1.0, 0.64494
191.0, 1.0, 35.1, 213.8, 26.5, 5.0, 1.0, -1.00000
192.0, 1.0, 57.6, 231.0, 4.7, 5.0, 1.0, 0.58964
193.0, 1.0, 44.7, 235.1, 57.1, 5.0, 1.0, 0.22217
194.0, 1.0, 58.0, 233.8, 2.9, 5.0, 1.0, 0.62239
195.0, 1.0, 74.5, 249.5, 64.7, 5.0, 1.0, 0.00000
196.0, 1.0, 39.3, 228.2, 54.0, 5.0, 1.0, 0.00000
197.0, 1.0, 52.2, 243.8, 49.5, 5.0, 1.0, -1.00000
198.0, 1.0, 42.4, 232.4, 52.9, 5.0, 1.0, 0.00000
199.0, 1.0, 46.1, 244.3, 23.1, 5.0, 1.0, 0.35846
200.0, 1.0, 36.4, 225.7, 50.2, 5.0, 1.0, 0.00000
201.0, 1.0, 66.2, 260.0, 32.1, 5.0, 1.0, -1.00000
202.0, 1.0, 67.9, 258.3, 37.5, 5.0, 1.0, 0.14153
203.0, 1.0, 70.8, 262.3, 35.0, 5.0, 1.0, 0.34915
204.0, 1.0, 54.1, 259.2, 33.1, 5.0, 1.0, 1.00000
205.0, 1.0, 67.4, 265.1, 25.4, 5.0, 1.0, 0.37274
206.0, 1.0, 66.0, 268.9, 24.9, 5.0, 1.0, 0.38024
207.0, 1.0, 65.0, 265.9, 19.3, 5.0, 1.0, 0.41641
208.0, 1.0, 46.7, 252.0, 12.1, 5.0, 1.0, -1.00000
209.0, 1.0, 43.5, 249.7, 16.7, 5.0, 1.0, 1.00000
210.0, 1.0, 58.9, 228.9, 5.6, 5.0, 1.0, 0.50406
211.0, 1.0, 45.5, 240.0, 13.9, 5.0, 1.0, 0.00000
212.0, 1.0, 60.7, 265.8, 24.0, 5.0, 1.0, 0.48998
213.0, 1.0, 58.8, 264.0, 18.7, 5.0, 1.0, 0.45208
214.0, 1.0, 64.5, 262.5, 22.9, 5.0, 1.0, 0.39719
215.0, 1.0, 41.9, 225.9, 94.2, 5.0, 1.0, 0.53580
216.0, 1.0, 46.6, 228.0, 94.8, 5.0, 1.0, -1.00000
217.0, 1.0, 58.4, 227.1, 6.7, 5.0, 1.0, 0.00000
218.0, 1.0, 70.7, 248.3, 66.6, 5.0, 1.0, 0.00000
219.0, 1.0, 70.5, 247.1, 70.9, 5.0, 1.0, 0.00000
220.0, 1.0, 43.5, 240.1, 19.5, 5.0, 1.0, 0.00000
221.0, 1.0, 58.9, 253.4, 31.8, 5.0, 1.0, 0.43042
222.0, 1.0, 54.7, 250.4, 29.0, 5.0, 1.0, 0.35068
223.0, 1.0, 39.2, 220.6, 20.4, 5.0, 1.0, -1.00000
224.0, 1.0, 47.1, 237.8, 61.2, 5.0, 1.0, -1.00000
225.0, 1.0, 43.6, 234.8, 16.0, 5.0, 1.0, 0.37047
226.0, 1.0, 38.4, 200.4, 28.6, 5.0, 1.0, 0.26356
227.0, 1.0, 46.3, 244.9, 17.2, 5.0, 1.0, -1.00000
228.0, 1.0, 51.2, 241.3, 60.0, 5.0, 1.0, 0.00000
229.0, 1.0, 48.2, 238.9, 56.1, 5.0, 1.0, -1.00000
230.0, 1.0, 46.4, 236.1, 66.6, 5.0, 1.0, 0.64062
231.0, 1.0, 51.9, 242.6, 54.8, 5.0, 1.0, 0.52015
232.0, 1.0, 50.3, 247.5, 26.2, 5.0, 1.0, 0.28125
233.0, 1.0, 53.6, 251.3, 23.3, 5.0, 1.0, 0.24996
234.0, 1.0, 63.3, 256.1, 34.6, 5.0, 1.0, 0.12027
235.0, 1.0, 60.4, 248.9, 51.2, 5.0, 1.0, -1.00000
236.0, 1.0, 44.9, 234.0, 78.2, 5.0, 1.0, 0.21953
237.0, 1.0, 44.5, 238.3, 37.6, 5.0, 1.0, 0.57127
238.0, 1.0, 49.6, 248.3, 20.4, 5.0, 1.0, 0.31357
239.0, 1.0, 56.3, 232.1, 1.0, 5.0, 1.0, 0.62644
240.0, 1.0, 83.2, 245.7, 72.9, 5.0, 1.0, -1.00000
241.0, 1.0, 50.3, 245.6, 7.3, 5.0, 1.0, -1.00000
242.0, 1.0, 47.9, 245.2, 12.0, 5.0, 1.0, 0.12533
243.0, 1.0, 58.7, 244.5, 67.3, 5.0, 1.0, 0.00000
244.0, 1.0, 62.9, 246.6, 65.6, 5.0, 1.0, 0.00000
245.0, 1.0, 61.9, 257.2, 29.2, 5.0, 1.0, 0.54200
246.0, 1.0, 31.3, 216.0, 56.7, 5.0, 1.0, 0.00000
247.0, 1.0, 42.6, 229.3, 88.1, 5.0, 1.0, 0.09248
248.0, 1.0, 44.9, 232.5, 83.7, 5.0, 1.0, 0.16344
249.0, 1.0, 39.6, 230.0, 49.0, 5.0, 1.0, 0.29721
250.0, 1.0, 57.8, 254.1, 26.2, 5.0, 1.0, 0.46811
251.0, 1.0, 70.6, 268.6, 28.6, 5.0, 1.0, 0.36028
252.0, 1.0, 68.9, 264.1, 30.3, 5.0, 1.0, 0.26304
253.0, 1.0, 73.1, 266.6, 33.7, 5.0, 1.0, -1.00000
254.0, 1.0, 54.8, 243.1, 63.9, 5.0, 1.0, 0.11964
255.0, 1.0, 48.1, 254.4, 15.8, 5.0, 1.0, 0.23933
256.0, 1.0, 85.8, 245.4, 72.2, 5.0, 1.0, 0.09335
257.0, 1.0, 87.4, 246.0, 69.9, 5.0, 1.0, 0.04398
258.0, 1.0, 87.1, 246.9, 68.4, 5.0, 1.0, 0.00000
259.0, 1.0, 34.4, 225.1, 40.4, 5.0, 1.0, 0.00000
260.0, 1.0, 35.4, 227.0, 34.8, 5.0, 1.0, -1.00000
261.0, 1.0, 56.0, 261.8, 24.2, 5.0, 1.0, 0.83424
262.0, 1.0, 69.6, 256.8, 42.2, 5.0, 1.0, 0.00000
263.0, 1.0, 64.5, 255.0, 39.6, 5.0, 1.0, -1.00000
264.0, 1.0, 64.9, 261.2, 27.2, 5.0, 1.0, 0.40198
265.0, 1.0, 61.2, 258.4, 23.5, 5.0, 1.0, 0.00000
266.0, 1.0, 67.0, 248.3, 63.7, 5.0, 1.0, 0.00000
267.0, 1.0, 66.7, 247.1, 68.5, 5.0, 1.0, 0.04346
268.0, 1.0, 34.0, 223.2, 45.9, 5.0, 1.0, 0.07192
269.0, 1.0, 36.9, 227.7, 44.9, 5.0, 1.0, 0.10607
270.0, 1.0, 50.5, 240.1, 65.2, 5.0, 1.0, 0.43717
271.0, 1.0, 61.3, 263.0, 38.7, 5.0, 1.0, 1.00000
272.0, 1.0, 45.6, 236.3, 52.0, 5.0, 1.0, 0.30805
273.0, 1.0, 37.4, 224.8, 24.7, 5.0, 1.0, 0.00000
274.0, 1.0, 49.9, 238.8, 70.7, 5.0, 1.0, 0.00000
275.0, 1.0, 59.7, 231.4, 1.8, 5.0, 1.0, 0.61147
276.0, 1.0, 60.4, 230.3, 4.0, 5.0, 1.0, 0.61855
277.0, 1.0, 56.8, 255.0, 20.5, 5.0, 1.0, 0.31770
278.0, 1.0, 69.0, 264.9, 45.0, 5.0, 1.0, 1.00000
279.0, 1.0, 65.1, 253.3, 44.5, 5.0, 1.0, 0.00000
280.0, 1.0, 33.2, 218.0, 96.1, 5.0, 1.0, 0.68294
281.0, 1.0, 31.0, 205.7, 36.8, 5.0, 1.0, 0.02564
282.0, 1.0, 65.2, 251.5, 49.3, 5.0, 1.0, 0.00000
283.0, 1.0, 29.4, 202.0, 42.0, 5.0, 1.0, -1.00000
284.0, 1.0, 32.6, 218.8, 54.7, 5.0, 1.0, 0.00000
285.0, 1.0, 35.0, 223.1, 30.2, 5.0, 1.0, 0.03100
286.0, 1.0, 75.1, 263.6, 38.1, 5.0, 1.0, 0.44258
287.0, 1.0, 75.9, 245.4, 76.2, 5.0, 1.0, 0.00000
288.0, 1.0, 33.2, 221.5, 35.9, 5.0, 1.0, -1.00000
289.0, 1.0, 48.5, 240.2, 51.1, 5.0, 1.0, 0.59032
290.0, 1.0, 49.4, 237.6, 76.3, 5.0, 1.0, 0.00000
291.0, 1.0, 42.0, 222.3, 17.3, 5.0, 1.0, 0.59476
292.0, 1.0, 31.7, 218.6, 46.5, 5.0, 1.0, 0.00000
293.0, 1.0, 32.4, 220.0, 41.3, 5.0, 1.0, 0.00000
294.0, 1.0, 66.2, 265.7, 40.7, 5.0, 1.0, 0.96131
295.0, 1.0, 62.7, 245.3, 70.3, 5.0, 1.0, 0.05320
296.0, 1.0, 61.3, 228.5, 4.9, 5.0, 1.0, 0.64255
297.0, 1.0, 54.3, 242.0, 69.0, 5.0, 1.0, 0.15026
298.0, 1.0, 87.5, 247.7, 66.8, 5.0, 1.0, -1.00000
299.0, 1.0, 82.9, 247.8, 68.7, 5.0, 1.0, -1.00000
300.0, 1.0, 54.1, 240.5, 74.2, 5.0, 1.0, 0.00000
301.0, 1.0, 58.4, 243.1, 72.2, 5.0, 1.0, 0.06094
302.0, 1.0, 35.9, 219.4, 25.8, 5.0, 1.0, 0.07800
303.0, 1.0, 47.8, 251.1, 7.7, 5.0, 1.0, -1.00000
304.0, 1.0, 49.9, 255.1, 10.7, 5.0, 1.0, -1.00000
305.0, 1.0, 32.1, 199.9, 36.5, 5.0, 1.0, -1.00000
306.0, 1.0, 70.8, 249.5, 62.7, 5.0, 1.0, 0.00000
307.0, 1.0, 59.1, 227.9, 1.6, 5.0, 1.0, -1.00000
308.0, 1.0, 71.2, 246.0, 74.7, 5.0, 1.0, 0.05204
309.0, 1.0, 62.6, 261.5, 19.9, 5.0, 1.0, 0.41785
310.0, 1.0, 82.1, 265.4, 42.4, 5.0, 1.0, 0.49398
311.0, 1.0, 78.8, 262.8, 41.5, 5.0, 1.0, 0.45687
312.0, 1.0, 74.5, 259.8, 41.7, 5.0, 1.0, -1.00000
313.0, 1.0, 78.2, 259.1, 45.2, 5.0, 1.0, 0.18770
314.0, 1.0, 65.0, 227.4, 5.0, 5.0, 1.0, -1.00000
315.0, 1.0, 49.3, 235.8, 81.8, 5.0, 1.0, -1.00000
316.0, 1.0, 71.5, 260.0, 38.7, 5.0, 1.0, 0.04756
317.0, 1.0, 28.5, 206.5, 46.5, 5.0, 1.0, 0.00000
318.0, 1.0, 45.9, 237.6, 47.7, 5.0, 1.0, 0.49579
319.0, 1.0, 69.9, 239.5, 86.1, 5.0, 1.0, 0.44236
320.0, 1.0, 64.6, 239.8, 84.6, 5.0, 1.0, -1.00000
321.0, 1.0, 82.0, 246.9, 71.2, 5.0, 1.0, -1.00000
322.0, 1.0, 54.4, 257.0, 10.2, 5.0, 1.0, 0.23204
323.0, 1.0, 82.0, 262.9, 42.9, 5.0, 1.0, -1.00000
324.0, 1.0, 93.0, 247.0, 65.0, 5.0, 1.0, 0.11020
325.0, 1.0, 90.3, 248.7, 63.4, 5.0, 1.0, 0.00000
326.0, 1.0, 40.0, 241.4, 11.6, 5.0, 1.0, -1.00000
327.0, 1.0, 35.5, 236.0, 16.0, 5.0, 1.0, 0.97131
328.0, 1.0, 38.4, 235.6, 11.3, 5.0, 1.0, 0.93790
329.0, 1.0, 56.8, 224.3, 2.1, 5.0, 1.0, 1.00000
330.0, 1.0, 53.7, 227.2, 1.9, 5.0, 1.0, -1.00000
331.0, 1.0, 22.4, 165.9, 39.6, 5.0, 1.0, 1.00000
332.0, 1.0, 27.0, 163.0, 36.1, 5.0, 1.0, 0.95525
333.0, 1.0, 24.0, 169.4, 36.8, 5.0, 1.0, -1.00000
334.0, 1.0, 23.5, 222.0, 48.7, 5.0, 1.0, 1.00000
335.0, 1.0, 24.5, 223.0, 54.0, 5.0, 1.0, -1.00000
336.0, 1.0, 21.4, 217.6, 50.0, 5.0, 1.0, 1.00000
337.0, 1.0, 37.0, 240.8, 19.0, 5.0, 1.0, 0.90094
338.0, 1.0, 31.8, 172.8, 30.3, 5.0, 1.0, 1.00000
339.0, 1.0, 30.5, 175.2, 30.4, 5.0, 1.0, 1.00000
340.0, 1.0, 28.0, 174.3, 32.2, 5.0, 1.0, 0.91410
341.0, 1.0, 36.6, 206.7, 17.5, 5.0, 1.0, 1.00000
342.0, 1.0, 40.3, 202.0, 17.9, 5.0, 1.0, 1.00000
343.0, 1.0, 40.9, 209.7, 14.6, 5.0, 1.0, -1.00000
344.0, 1.0, 18.6, 207.9, 46.6, 5.0, 1.0, 1.00000
345.0, 1.0, 18.1, 207.6, 50.6, 5.0, 1.0, 1.00000
346.0, 1.0, 18.0, 205.1, 45.5, 5.0, 1.0, 1.00000
347.0, 1.0, 19.1, 187.8, 40.1, 5.0, 1.0, 0.96309
348.0, 1.0, 18.0, 186.0, 42.9, 5.0, 1.0, 1.00000
